purchase_order_id,po_line_no,po_date,po_status,po_total_amount,supplier_id,supplier_name,supplier_contact,supplier_phone,supplier_region,supplier_category,product_id,product_name,product_category,unit,unit_price,qty,line_amount,line_eta_date,line_received_qty,buyer,warehouse_code
PO-20250818-009,1,2025-08-18,in_transit,23600.00,SUP-012,北京京诚物流股份有限公司,黄国梁,13000130012,华北,logistics,P-1026,冷藏配送 城际 5 吨,logistics,趟,2400.00,8,19200.00,2025-08-28,0,王芳,BJ-DC-04
PO-20250818-009,2,2025-08-18,in_transit,23600.00,SUP-012,北京京诚物流股份有限公司,黄国梁,13000130012,华北,logistics,P-1013,-18℃ 冷链厢式货车 6.8 米,logistics,趟,1280.00,2,2560.00,2025-08-28,0,王芳,BJ-DC-04
PO-20250820-010,1,2025-08-20,received,8700.00,SUP-0011,天津北方化工原料有限公司,马晓燕,13100131011,华北,raw_material,P-1019,工业级片碱 NaOH 99%,raw_material,吨,2800.00,3,8400.00,2025-08-25,3,李军,TJ-DC-05
PO-20250822-011,1,2025-08-22,in_transit,11700.00,SUP-019,兰州西北物流有限公司,林志玲,15400154019,西北,logistics,P-1014,常温厢式货车 9.6 米,logistics,趟,1580.00,2,3160.00,2025-08-30,0,王芳,XA-DC-06
PO-20250822-011,2,2025-08-22,in_transit,11700.00,SUP-019,兰州西北物流有限公司,林志玲,15400154019,西北,logistics,P-1017,进口冷冻牛肉 牛腱子,food,千克,68.00,120,8160.00,2025-08-30,0,王芳,XA-DC-06
PO-20250825-012,1,2025-08-25,received,4250.00,SUP-017,重庆山城包装制品有限公司,韩雪,15600156017,西南,packaging,P-1021,镭射防伪标签 25mm,packaging,万个,35.00,30,1050.00,2025-08-30,30,李军,CQ-DC-07
PO-20250825-012,2,2025-08-25,received,4250.00,SUP-017,重庆山城包装制品有限公司,韩雪,15600156017,西南,packaging,P-1022,真空包装袋 25x35cm,packaging,个,0.18,8000,1440.00,2025-08-30,8000,李军,CQ-DC-07
PO-20250825-012,3,2025-08-25,received,4250.00,SUP-017,重庆山城包装制品有限公司,韩雪,15600156017,西南,packaging,P-1033,防锈 VCI 气相防锈袋,packaging,个,0.85,2000,1700.00,2025-08-30,2000,李军,CQ-DC-07
PO-20250828-013,1,2025-08-28,confirmed,24600.00,SUP-013,武汉长江冷链设备有限公司,徐俊,15900159013,华中,equipment,P-1011,冷链温控记录仪 4G 联网,equipment,台,980.00,25,24500.00,2025-09-05,0,王芳,WH-DC-03
PO-20250830-014,1,2025-08-30,in_transit,32000.00,SUP-020,昆明云岭冷链运输有限公司,蔡晓东,,西南,logistics,P-1030,云南鲜花冷链 4.2 米,logistics,趟,1860.00,4,7440.00,2025-09-05,0,李军,KM-DC-08
PO-20250830-014,2,2025-08-30,in_transit,32000.00,SUP-020,昆明云岭冷链运输有限公司,蔡晓东,,西南,logistics,P-1018,进口冷冻三文鱼柳,food,千克,118.00,200,23600.00,2025-09-05,0,李军,KM-DC-08
